Liquidada,Descrição,Tipo,Cotações,Valor Apostado ($),Risco ($),Lucro/Perda ($),Status
28-out-21 08:32:43,08:25 Stratford Runwiththetide-Vencedor | ID Aposta Betfair 1:248711563277 | Feita 27-out-21 23:33:07 | RF 3.80 3.43,A favor,3.43,3.00, -- , -3.00 ,Perdidas
16-out-21 17:43:51,"Fortuna Sittard x Cambuur Leeuwarden Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247479663477 | Feita 16-out-21 17:40:16",A favor,1.37,3.00, -- , -3.00 ,Perdidas
16-out-21 17:41:13,"Gimnasia La Plata x Newells Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247478648234 | Feita 16-out-21 17:28:18",A favor,1.41,3.00, -- , 1.23 ,Ganhas
16-out-21 17:39:45,"Standard x Oud-Heverlee Leuven Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247478622509 | Feita 16-out-21 17:28:03",A favor,1.61,3.00, -- , -3.00 ,Perdidas
16-out-21 17:27:21,"Hamburger SV x Fortuna Dusseldorf Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247477496044 | Feita 16-out-21 17:16:51",A favor,1.36,3.00, -- , 1.08 ,Ganhas
16-out-21 17:25:22,"Skra Czestochowa x GKS Katowice Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247476941564 | Feita 16-out-21 17:11:50",A favor,1.38,3.00, -- , 1.14 ,Ganhas
16-out-21 17:23:51,"FC Zurich x Lugano Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247477025837 | Feita 16-out-21 17:12:38",A favor,1.45,3.00, -- , 1.35 ,Ganhas
16-out-21 17:23:36,"Malaga x Zaragoza Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247477155647 | Feita 16-out-21 17:13:49",A favor,1.25,3.00, -- , 0.75 ,Ganhas
16-out-21 17:05:53,"NK Maribor x NK Radomlje Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247475193328 | Feita 16-out-21 16:55:41",A favor,1.47,3.00, -- , 1.41 ,Ganhas
16-out-21 17:04:22,"CA San Miguel x Defensores Unidos Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247474941104 | Feita 16-out-21 16:53:01",A favor,1.28,3.00, -- , 0.84 ,Ganhas
16-out-21 17:01:23,"Liverpool Montevideo x Plaza Colonia Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247474420419 | Feita 16-out-21 16:47:55",A favor,1.36,3.00, -- , -3.00 ,Perdidas
16-out-21 16:59:51,"Utc Cajamarca x Sport Boys (Per) Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247475219457 | Feita 16-out-21 16:55:58",A favor,1.43,3.00, -- , -3.00 ,Perdidas
16-out-21 16:56:00,"Brown de Adrogue x Gimnasia Jujuy Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247474157708 | Feita 16-out-21 16:45:31",A favor,1.27,3.00, -- , 0.81 ,Ganhas
16-out-21 16:55:59,"Cobreloa Calama x Deportes Copiapo Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247474005207 | Feita 16-out-21 16:44:09",A favor,1.33,3.00, -- , 0.99 ,Ganhas
16-out-21 16:54:54,"Aparecidense Go x Uberlandia MG Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247474608019 | Feita 16-out-21 16:49:48",A favor,1.40,3.00, -- , -3.00 ,Perdidas
16-out-21 16:54:43,"Biel Bienne x Breitenrain Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247473903831 | Feita 16-out-21 16:43:12",A favor,1.38,3.00, -- , 1.14 ,Ganhas
16-out-21 16:53:41,"Acassuso x Argentino de Quilmes Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247473929331 | Feita 16-out-21 16:43:25",A favor,1.31,3.00, -- , 0.93 ,Ganhas
16-out-21 16:53:27,"Uai Urquiza x Deportivo Armenio Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247474032097 | Feita 16-out-21 16:44:26",A favor,1.43,3.00, -- , -3.00 ,Perdidas
16-out-21 16:53:14,"Santiago Wanderers x Everton De Vina Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247474654010 | Feita 16-out-21 16:50:15",A favor,1.28,3.00, -- , -3.00 ,Perdidas
16-out-21 16:53:00,"Camioneros x Circulo Deportivo Otamendi Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247474095797 | Feita 16-out-21 16:45:00",A favor,1.28,3.00, -- , -3.00 ,Perdidas
16-out-21 16:42:06,"Chiasso x SC Bruhl St Gallen Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247473311466 | Feita 16-out-21 16:38:16",A favor,1.44,3.00, -- , -3.00 ,Perdidas
16-out-21 16:17:06,"Shabab Al Ordon x Al Aqaba Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247469380835 | Feita 16-out-21 16:10:11",A favor,1.41,3.00, -- , -3.00 ,Perdidas
15-out-21 23:14:27,"Velez Sarsfield x Arsenal De Sarandi Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247360063127 | Feita 15-out-21 22:59:57",A favor,1.38,3.00, -- , 1.14 ,Ganhas
15-out-21 03:50:00,"Colômbia x Equador Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247248099608 | Feita 14-out-21 19:47:46",A favor,1.32,3.00, -- , 0.96 ,Ganhas
14-out-21 23:47:02,"Real Madriz x ART Municipal Jalapa Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247256238185 | Feita 14-out-21 23:39:48",A favor,1.39,3.00, -- , -3.00 ,Perdidas
14-out-21 23:11:26,"Brasil x Uruguai Mais de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247252566456 | Feita 14-out-21 22:04:05",A favor,1.98,14.00, -- , 13.72 ,Ganhas
14-out-21 21:06:23,"São Paulo x Ceará Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247250296032 | Feita 14-out-21 20:54:22",A favor,1.48,3.00, -- , 1.44 ,Ganhas
14-out-21 20:56:17,"Cuiabá x Sport Recife Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247249935756 | Feita 14-out-21 20:43:34",A favor,1.34,3.00, -- , 1.02 ,Ganhas
14-out-21 16:58:12,"AD Sao Caetano do Sul U20 x XV Jau U20 Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247241537207 | Feita 14-out-21 16:45:17",A favor,1.41,3.00, -- , 1.23 ,Ganhas
14-out-21 16:56:23,"Fernandopolis SP U20 x CA Juventus U20 Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247241463399 | Feita 14-out-21 16:43:51",A favor,1.44,3.00, -- , 1.32 ,Ganhas
14-out-21 16:56:15,"CA Penapolense U20 x Ponte Preta Sub20 Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247241502540 | Feita 14-out-21 16:44:37",A favor,1.35,3.00, -- , 1.05 ,Ganhas
